HBT,HealthBoardName,Specialty,SpecialtyName,PatientType,ForecastDate,yhat,yhat_lower,yhat_upper
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),New Outpatient,2026-08-01,37.45,27.21,48.68
S08000015,NHS Ayrshire & Arran,AF,Specialty (AF),New Outpatient,2026-09-01,37.81,26.82,49.03
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),Inpatient/Day case,2025-08-01,40.89,12.43,72.72
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),Inpatient/Day case,2025-09-01,0.0,0.0,13.7
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),Inpatient/Day case,2025-10-01,2.23,0.0,30.02
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),Inpatient/Day case,2025-11-01,61.76,31.72,90.87
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),Inpatient/Day case,2025-12-01,61.03,31.77,88.99
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),Inpatient/Day case,2026-01-01,2.67,0.0,31.53
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),New Outpatient,2026-04-01,85.57,71.28,100.0
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),New Outpatient,2026-05-01,90.26,75.04,100.0
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),New Outpatient,2026-06-01,91.36,76.26,100.0
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),New Outpatient,2026-07-01,91.85,76.13,100.0
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),New Outpatient,2026-08-01,91.37,75.44,100.0
S08000015,NHS Ayrshire & Arran,AG,Specialty (AG),New Outpatient,2026-09-01,89.79,74.51,100.0
S08000015,NHS Ayrshire & Arran,AH,Specialty (AH),New Outpatient,2026-04-01,79.83,59.89,99.44
S08000015,NHS Ayrshire & Arran,AH,Specialty (AH),New Outpatient,2026-05-01,85.9,66.05,100.0
S08000015,NHS Ayrshire & Arran,AH,Specialty (AH),New Outpatient,2026-06-01,88.74,68.08,100.0
S08000015,NHS Ayrshire & Arran,AH,Specialty (AH),New Outpatient,2026-07-01,87.59,66.73,100.0
S08000015,NHS Ayrshire & Arran,AH,Specialty (AH),New Outpatient,2026-08-01,86.64,65.72,100.0
S08000015,NHS Ayrshire & Arran,AH,Specialty (AH),New Outpatient,2026-09-01,87.66,67.12,100.0
S08000015,NHS Ayrshire & Arran,AP,Specialty (AP),New Outpatient,2026-04-01,46.25,37.6,55.24
S08000015,NHS Ayrshire & Arran,AP,Specialty (AP),New Outpatient,2026-05-01,50.07,42.27,58.87
S08000015,NHS Ayrshire & Arran,AP,Specialty (AP),New Outpatient,2026-06-01,57.68,49.19,65.99
S08000015,NHS Ayrshire & Arran,AP,Specialty (AP),New Outpatient,2026-07-01,52.55,43.69,61.29
S08000015,NHS Ayrshire & Arran,AP,Specialty (AP),New Outpatient,2026-08-01,49.93,41.4,58.35
S08000015,NHS Ayrshire & Arran,AP,Specialty (AP),New Outpatient,2026-09-01,54.13,45.69,62.6
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),Inpatient/Day case,2026-04-01,4.93,0.0,19.5
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),Inpatient/Day case,2026-05-01,5.37,0.0,20.71
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),Inpatient/Day case,2026-06-01,5.24,0.0,19.97
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),Inpatient/Day case,2026-07-01,10.96,0.0,26.9
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),Inpatient/Day case,2026-08-01,2.74,0.0,18.13
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),Inpatient/Day case,2026-09-01,2.63,0.0,16.48
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),New Outpatient,2026-04-01,57.64,36.32,78.44
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),New Outpatient,2026-05-01,59.26,37.84,79.93
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),New Outpatient,2026-06-01,61.46,39.67,82.62
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),New Outpatient,2026-07-01,63.18,41.13,83.91
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),New Outpatient,2026-08-01,64.49,43.37,86.75
S08000015,NHS Ayrshire & Arran,AQ,Specialty (AQ),New Outpatient,2026-09-01,65.39,45.25,87.79
S08000015,NHS Ayrshire & Arran,AR,Specialty (AR),New Outpatient,2026-04-01,73.97,51.07,95.67
S08000015,NHS Ayrshire & Arran,AR,Specialty (AR),New Outpatient,2026-05-01,77.36,55.75,99.62
S08000015,NHS Ayrshire & Arran,AR,Specialty (AR),New Outpatient,2026-06-01,80.94,57.71,100.0
S08000015,NHS Ayrshire & Arran,AR,Specialty (AR),New Outpatient,2026-07-01,83.07,62.17,100.0
S08000015,NHS Ayrshire & Arran,AR,Specialty (AR),New Outpatient,2026-08-01,82.93,60.95,100.0
