HBT,HealthBoardName,Specialty,SpecialtyName,PatientType,RiskRating,PriorityScore,CurrentPctOver12Weeks,PeakForecast,MeanForecast,FinalForecast,ForecastUncertainty,ForecastDateMax,TrendDirection,TrendSlope,CurrentMedianWaitWeeks,Current90thPctWaitWeeks,NumberWaiting,NumberWaitingOver12Weeks,Additions,Removals,NetPressure
S27000001,NHS Golden Jubilee,Z9,All Specialties,New Outpatient,RED,2.7,92.45,95.05,91.56,89.83,25.92,2026-09-01,Improving,-1.04,510.0,547.9,278.0,257.0,33.0,262.0,-229.0
S27000001,NHS Golden Jubilee,Z9,All Specialties,Inpatient/Day case,RED,2.7,86.91,100.0,90.19,91.11,18.04,2026-09-01,Improving,-1.11,408.0,685.0,1291.0,1122.0,353.0,2416.0,-2063.0
S08000017,NHS Dumfries & Galloway,AR,Specialty (AR),New Outpatient,RED,2.7,43.08,64.78,60.46,64.78,36.56,2026-09-01,Improving,-1.46,64.0,253.0,195.0,84.0,403.0,457.0,-54.0
S08000017,NHS Dumfries & Galloway,J4,Specialty (J4),Inpatient/Day case,RED,2.7,0.0,75.44,67.53,60.69,65.72,2026-09-01,Improving,-21.26,,,1.0,0.0,4.0,3.0,1.0
S08000017,NHS Dumfries & Galloway,CB,Specialty (CB),New Outpatient,RED,2.7,46.74,65.13,62.36,63.96,30.42,2026-09-01,Improving,-2.13,77.0,294.0,659.0,308.0,793.0,791.0,2.0
S08000017,NHS Dumfries & Galloway,CB,Specialty (CB),Inpatient/Day case,RED,2.7,55.87,70.67,68.84,69.63,32.76,2026-09-01,Improving,-1.17,116.0,288.0,392.0,219.0,278.0,280.0,-2.0
S92000003,NHS Scotland (All),AR,Specialty (AR),New Outpatient,RED,2.7,47.43,60.68,57.4,60.68,19.48,2026-09-01,Improving,-0.75,78.0,252.0,9809.0,4652.0,8438.0,8466.0,-28.0
S08000024,NHS Lothian,CB,Specialty (CB),New Outpatient,RED,2.7,52.02,72.89,71.04,69.91,23.57,2026-09-01,Improving,-2.7,99.0,412.0,2795.0,1454.0,2063.0,2519.0,-456.0
S08000024,NHS Lothian,CA,Specialty (CA),Inpatient/Day case,RED,2.7,59.78,86.73,84.16,84.25,22.5,2026-09-01,Improving,-1.47,139.0,361.0,455.0,272.0,208.0,307.0,-99.0
S08000025,NHS Orkney,A7,Specialty (A7),Inpatient/Day case,RED,2.7,0.0,72.07,22.63,0.0,23.91,2026-09-01,Improving,-1.72,,,2.0,0.0,7.0,10.0,-3.0
S08000024,NHS Lothian,Z9,All Specialties,New Outpatient,RED,2.7,50.15,64.86,62.18,62.76,13.02,2026-09-01,Improving,-1.47,85.0,319.0,82867.0,41557.0,71014.0,75875.0,-4861.0
S08000030,NHS Tayside,F2,Specialty (F2),New Outpatient,RED,2.7,54.88,78.98,74.71,78.98,26.67,2026-09-01,Improving,-2.48,105.0,207.0,2150.0,1180.0,2675.0,5556.0,-2881.0
S08000030,NHS Tayside,F2,Specialty (F2),Inpatient/Day case,RED,2.7,52.79,80.82,74.56,72.88,13.07,2026-09-01,Improving,-3.57,118.0,525.0,1292.0,682.0,747.0,367.0,380.0
S08000030,NHS Tayside,D8,Respiratory Medicine,Inpatient/Day case,RED,2.7,25.81,61.28,58.43,57.73,45.71,2026-09-01,Improving,-0.61,53.0,149.0,31.0,8.0,42.0,44.0,-2.0
S92000003,NHS Scotland (All),C3,Plastic Surgery,Inpatient/Day case,RED,2.7,56.63,71.04,68.99,68.68,44.03,2026-09-01,Improving,-2.94,109.0,224.0,83.0,47.0,39.0,36.0,3.0
S92000003,NHS Scotland (All),C12,Thoracic Surgery,New Outpatient,RED,2.7,49.04,57.65,55.1,57.65,24.33,2026-09-01,Improving,-0.52,82.0,252.0,5332.0,2615.0,4485.0,4775.0,-290.0
S92000003,NHS Scotland (All),C11,Cardiac Surgery,New Outpatient,RED,2.7,48.81,64.81,62.72,63.52,12.84,2026-09-01,Improving,-1.54,82.0,260.0,33860.0,16526.0,35346.0,38690.0,-3344.0
S92000003,NHS Scotland (All),C11,Cardiac Surgery,Inpatient/Day case,RED,2.7,57.45,72.06,68.24,66.27,14.83,2026-09-01,Improving,-0.55,117.0,345.800000000001,14513.0,8338.0,9399.0,9091.0,308.0
S92000003,NHS Scotland (All),C1,Cardiothoracic Surgery,New Outpatient,RED,2.7,43.26,66.27,64.39,66.27,20.47,2026-09-01,Improving,-1.12,68.0,236.0,9816.0,4246.0,13945.0,13879.0,66.0
S08000017,NHS Dumfries & Galloway,C7,Orthopaedics,Inpatient/Day case,RED,2.7,63.95,70.44,68.18,69.96,33.0,2026-09-01,Improving,-1.18,131.0,280.0,1229.0,786.0,541.0,651.0,-110.0
S08000017,NHS Dumfries & Galloway,C5,Gynaecology,Inpatient/Day case,RED,2.7,61.63,85.84,84.13,85.52,31.68,2026-09-01,Improving,-1.36,151.5,302.0,258.0,159.0,126.0,142.0,-16.0
S08000017,NHS Dumfries & Galloway,C31,Specialty (C31),New Outpatient,RED,2.7,6.42,53.89,50.12,52.03,49.9,2026-09-01,Improving,-4.91,35.0,75.4,187.0,12.0,201.0,62.0,139.0
S08000017,NHS Dumfries & Galloway,C3,Plastic Surgery,Inpatient/Day case,RED,2.7,57.32,70.4,67.56,69.88,45.82,2026-09-01,Improving,-3.28,110.5,224.0,82.0,47.0,37.0,31.0,6.0
S08000030,NHS Tayside,CA,Specialty (CA),Inpatient/Day case,RED,2.7,52.24,66.22,62.91,66.22,22.26,2026-09-01,Improving,-1.44,107.5,222.4,134.0,70.0,65.0,97.0,-32.0
S08000030,NHS Tayside,C9,Oral Surgery,Inpatient/Day case,RED,2.7,56.83,72.63,69.48,68.34,16.89,2026-09-01,Improving,-1.37,124.0,448.0,454.0,258.0,365.0,344.0,21.0
S08000030,NHS Tayside,C8,Neurosurgery,New Outpatient,RED,2.7,48.14,64.22,63.06,64.22,26.34,2026-09-01,Improving,-0.55,82.0,201.0,2985.0,1437.0,3312.0,3894.0,-582.0
S08000030,NHS Tayside,C8,Neurosurgery,Inpatient/Day case,RED,2.7,66.69,79.61,77.33,77.42,14.47,2026-09-01,Improving,-0.61,155.0,441.0,3882.0,2589.0,1381.0,1132.0,249.0
S08000030,NHS Tayside,C5,Gynaecology,New Outpatient,RED,2.7,57.44,65.92,62.44,65.92,27.02,2026-09-01,Improving,-0.51,120.5,313.0,2620.0,1505.0,1714.0,1780.0,-66.0
S08000030,NHS Tayside,C3,Plastic Surgery,New Outpatient,RED,2.7,25.0,85.88,75.82,70.53,61.12,2026-09-01,Improving,-5.1,,,8.0,2.0,19.0,14.0,5.0
S08000025,NHS Orkney,C7,Orthopaedics,New Outpatient,RED,2.7,8.82,55.21,50.37,47.34,37.3,2026-09-01,Improving,-2.4,33.0,77.9,102.0,9.0,133.0,121.0,12.0
S92000003,NHS Scotland (All),C9,Oral Surgery,Inpatient/Day case,RED,2.7,55.76,80.96,77.76,77.05,26.01,2026-09-01,Improving,-0.65,112.0,445.0,5007.0,2792.0,3297.0,4037.0,-740.0
S92000003,NHS Scotland (All),C8,Neurosurgery,New Outpatient,RED,2.7,54.49,65.42,64.51,65.42,17.4,2026-09-01,Improving,-0.6,105.0,280.0,54231.0,29548.0,49723.0,52676.0,-2953.0
S92000003,NHS Scotland (All),C7,Orthopaedics,New Outpatient,RED,2.7,53.07,73.4,68.43,68.61,20.28,2026-09-01,Improving,-1.06,103.0,272.0,57253.0,30384.0,42975.0,51134.0,-8159.0
S92000003,NHS Scotland (All),C6,Ophthalmology,New Outpatient,RED,2.7,54.11,65.28,64.31,64.14,19.96,2026-09-01,Improving,-0.94,102.0,278.0,4840.0,2619.0,3945.0,4035.0,-90.0
S92000003,NHS Scotland (All),C6,Ophthalmology,Inpatient/Day case,RED,2.7,58.69,70.85,66.39,62.92,10.86,2026-09-01,Improving,-1.14,123.0,569.1,1278.0,750.0,929.0,1057.0,-128.0
S92000003,NHS Scotland (All),C5,Gynaecology,New Outpatient,RED,2.7,49.44,74.21,70.75,73.12,17.68,2026-09-01,Improving,-2.05,83.0,294.099999999999,38250.0,18912.0,32029.0,34257.0,-2228.0
S92000003,NHS Scotland (All),C5,Gynaecology,Inpatient/Day case,RED,2.7,69.2,80.48,76.41,75.4,16.21,2026-09-01,Improving,-0.67,174.0,585.0,14516.0,10045.0,5563.0,6249.0,-686.0
S08000017,NHS Dumfries & Galloway,A9,Specialty (A9),New Outpatient,RED,2.7,64.19,88.76,83.79,86.64,26.58,2026-09-01,Improving,-0.8,131.0,285.3,578.0,371.0,474.0,587.0,-113.0
S92000003,NHS Scotland (All),C41,Audiological Medicine,Inpatient/Day case,RED,2.7,35.14,53.63,51.7,53.63,17.12,2026-09-01,Improving,-2.3,58.0,229.3,518.0,182.0,404.0,421.0,-17.0
S08000025,NHS Orkney,C5,Gynaecology,New Outpatient,RED,2.7,24.84,67.01,61.1,67.01,50.54,2026-09-01,Improving,-0.71,42.0,121.2,157.0,39.0,137.0,74.0,63.0
S08000025,NHS Orkney,C31,Specialty (C31),Inpatient/Day case,RED,2.7,0.0,77.04,62.64,55.38,61.92,2026-09-01,Improving,-3.19,48.0,55.8,23.0,0.0,27.0,28.0,-1.0
S08000026,NHS Shetland,A7,Specialty (A7),New Outpatient,RED,2.7,51.35,62.26,49.28,48.88,56.79,2026-09-01,Improving,-3.6,91.0,182.0,111.0,57.0,70.0,98.0,-28.0
S08000016,NHS Borders,AH,Specialty (AH),New Outpatient,RED,2.7,41.4,75.07,71.78,75.07,37.56,2026-09-01,Improving,-0.87,64.0,202.0,285.0,118.0,190.0,177.0,13.0
S08000016,NHS Borders,Z9,All Specialties,New Outpatient,RED,2.7,51.97,76.72,74.07,76.72,25.64,2026-09-01,Improving,-1.45,97.0,250.0,9343.0,4856.0,6580.0,7075.0,-495.0
S08000016,NHS Borders,Z9,All Specialties,Inpatient/Day case,RED,2.7,45.73,81.5,79.12,81.14,40.51,2026-09-01,Improving,-0.62,78.0,244.0,2495.0,1141.0,1462.0,1300.0,162.0
S08000016,NHS Borders,F2,Specialty (F2),New Outpatient,RED,2.7,44.71,67.13,63.27,64.03,18.87,2026-09-01,Improving,-0.67,70.0,215.1,700.0,313.0,692.0,640.0,52.0
S08000016,NHS Borders,D3,Gastroenterology,New Outpatient,RED,2.7,55.32,63.69,57.3,63.69,44.46,2026-09-01,Improving,-3.31,111.0,222.0,573.0,317.0,287.0,500.0,-213.0
S08000016,NHS Borders,CB,Specialty (CB),New Outpatient,RED,2.7,53.16,74.07,71.98,73.72,33.22,2026-09-01,Improving,-1.63,103.0,270.3,538.0,286.0,454.0,451.0,3.0
S08000016,NHS Borders,CB,Specialty (CB),Inpatient/Day case,RED,2.7,28.57,78.35,75.26,76.03,40.82,2026-09-01,Improving,-5.95,57.0,152.8,133.0,38.0,108.0,90.0,18.0
S92000003,NHS Scotland (All),CA,Specialty (CA),Inpatient/Day case,RED,2.7,60.76,79.04,74.12,70.93,11.49,2026-09-01,Improving,-1.25,134.0,328.5,1896.0,1152.0,952.0,1333.0,-381.0
S92000003,NHS Scotland (All),C9,Oral Surgery,New Outpatient,RED,2.7,50.19,66.63,64.95,66.13,23.52,2026-09-01,Improving,-0.93,85.0,277.0,8258.0,4145.0,7894.0,8490.0,-596.0
S08000030,NHS Tayside,C12,Thoracic Surgery,New Outpatient,RED,2.7,27.24,78.7,73.22,78.7,38.52,2026-09-01,Improving,-11.04,58.0,271.2,279.0,76.0,342.0,681.0,-339.0
S08000030,NHS Tayside,C12,Thoracic Surgery,Inpatient/Day case,RED,2.7,48.15,54.7,52.1,53.43,20.33,2026-09-01,Improving,-2.78,82.0,350.0,81.0,39.0,128.0,142.0,-14.0
S08000030,NHS Tayside,C11,Cardiac Surgery,New Outpatient,RED,2.7,35.03,52.33,49.99,49.84,13.17,2026-09-01,Improving,-1.54,49.0,196.0,2101.0,736.0,2680.0,2831.0,-151.0
S08000030,NHS Tayside,AH,Specialty (AH),New Outpatient,RED,2.7,54.99,78.86,77.46,77.91,23.25,2026-09-01,Improving,-1.9,109.0,285.0,1153.0,634.0,890.0,1268.0,-378.0
S08000030,NHS Tayside,AG,Specialty (AG),Inpatient/Day case,RED,2.7,55.56,60.78,52.94,57.32,81.63,2026-09-01,Improving,-1.98,,,9.0,5.0,14.0,11.0,3.0
S08000026,NHS Shetland,C8,Neurosurgery,New Outpatient,RED,2.7,15.56,60.99,58.94,60.38,48.6,2026-09-01,Improving,-3.71,14.0,178.6,45.0,7.0,91.0,117.0,-26.0
S08000026,NHS Shetland,C7,Orthopaedics,New Outpatient,RED,2.7,46.71,66.07,63.5,64.63,30.89,2026-09-01,Improving,-2.59,81.0,187.0,152.0,71.0,115.0,190.0,-75.0
S08000026,NHS Shetland,C7,Orthopaedics,Inpatient/Day case,RED,2.7,43.72,88.05,79.76,88.05,41.15,2026-09-01,Improving,-4.38,56.0,392.0,199.0,87.0,111.0,23.0,88.0
